Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_Unwrapped Phase,S12_Magnitude,S12_Magnitude (linear),S12_Phase,S12_Unwrapped Phase,S21_Magnitude,S21_Magnitude (linear),S21_Phase,S21_Unwrapped Phase,S22_Magnitude,S22_Magnitude (linear),S22_Phase,S22_Unwrapped Phase,
159528836,-49.84406712,0.003219560895,-108.3259427,-468.3259427,-0.1259818115,0.985600487,-1.666760632,-1.666760632,-0.1266290459,0.9855270471,-1.175974867,-1.175974867,-44.53202505,0.005934699692,-95.91144222,-455.9114422,
160016617,-49.80452253,0.003234252134,-110.8640218,-470.8640218,-0.1255579359,0.985648586,-1.684041803,-1.684041803,-0.1267196416,0.9855167679,-1.204108354,-1.204108354,-44.52553416,0.005939136299,-96.96104101,-456.961041,
160504398,-49.37832054,0.003396909472,-114.8432691,-474.8432691,-0.124813007,0.9857331219,-1.68757306,-1.68757306,-0.1271681923,0.9854658759,-1.207496082,-1.207496082,-44.32645197,0.006076834401,-99.10046814,-459.1004681,
160992179,-49.04773597,0.003528687519,-118.2430273,-478.2430273,-0.1254843638,0.9856569348,-1.695973906,-1.695973906,-0.1264539217,0.9855469175,-1.220329434,-1.220329434,-44.11912316,0.006223631093,-100.3503052,-460.3503052,
161479960,-48.74853806,0.003652355956,-121.5888381,-481.5888381,-0.1243510306,0.9857855515,-1.715701862,-1.715701862,-0.1251323878,0.9856968771,-1.241594422,-1.241594422,-44.09570579,0.006240432793,-101.1516152,-461.1516152,
161967741,-48.32175253,0.003836298338,-124.4887773,-484.4887773,-0.1242772337,0.9857939269,-1.727244235,-1.727244235,-0.1278665127,0.9853866505,-1.26424514,-1.26424514,-43.98858278,0.006317872554,-101.8862982,-461.8862982,
162455522,-47.92253373,0.004016736231,-127.0800334,-487.0800334,-0.1245630782,0.9857614859,-1.724141024,-1.724141024,-0.1266982254,0.9855191979,-1.244144012,-1.244144012,-43.87455586,0.006401359343,-103.2722584,-463.2722584,
162943304,-47.62043505,0.004158897791,-129.1517068,-489.1517068,-0.1255697272,0.9856472479,-1.73590959,-1.73590959,-0.1267609304,0.9855120832,-1.28269747,-1.28269747,-43.76279704,0.006484255931,-104.2514248,-464.2514248,
163431085,-47.36235635,0.004284322774,-131.9051853,-491.9051853,-0.1245807423,0.9857594812,-1.740193421,-1.740193421,-0.1275133731,0.9854267138,-1.295318118,-1.295318118,-43.72065044,0.006515795986,-105.135148,-465.135148,
163918866,-47.07414049,0.004428870434,-133.9305558,-493.9305558,-0.1254670837,0.9856588957,-1.735607088,-1.735607088,-0.1273568632,0.9854444703,-1.286014925,-1.286014925,-43.55201877,0.00664353246,-106.4357001,-466.4357001,
164406647,-46.67013502,0.004639735778,-136.3348406,-496.3348406,-0.125044834,0.985706813,-1.742505821,-1.742505821,-0.1271692178,0.9854657595,-1.280172279,-1.280172279,-43.39770973,0.006762612665,-107.6104554,-467.6104554,
164894428,-46.49438951,0.004734569809,-137.9665404,-497.9665404,-0.1251748662,0.9856920565,-1.758460667,-1.758460667,-0.1273198988,0.985448664,-1.306902832,-1.306902832,-43.43799066,0.006731323567,-107.6529909,-467.6529909,
165382209,-45.97679364,0.005025280614,-140.6182374,-500.6182374,-0.1263942774,0.985553685,-1.763735818,-1.763735818,-0.1274130694,0.9854380935,-1.319948734,-1.319948734,-43.32356716,0.006820585257,-108.9017219,-468.9017219,
