Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Unwrapped Phase,S12_Magnitude,S12_Magnitude (linear),S12_Unwrapped Phase,S21_Magnitude,S21_Magnitude (linear),S21_Unwrapped Phase,S22_Magnitude,S22_Magnitude (linear),S22_Unwrapped Phase,
5196013400,-19.75045313,0.1029146837,-569.0608445,-54.14707112,0.00196176257,17381.3381,-54.9495192,0.001788644535,17121.19937,-18.52248767,0.1185429189,-560.4770036,
5208013200,-20.59629691,0.09336522636,-563.7622934,-54.32249651,0.00192253907,17426.35354,-55.35949087,0.001706182395,17168.4893,-20.74895208,0.09173866075,-552.7964615,
5220013000,-21.59370704,0.08323666056,-567.6791811,-54.26624931,0.001935029252,17468.9665,-55.46984758,0.001684641989,17216.79497,-25.45215071,0.05338170791,-559.7523474,
5232012800,-22.85483978,0.0719876524,-578.5130486,-54.07805158,0.001977413164,17508.9925,-55.00991145,0.001776251378,17262.87513,-27.25220135,0.04339002822,-601.6220281,
5244012600,-22.09883592,0.07853408788,-585.7126306,-54.60924735,0.001860105737,17547.99153,-55.02317986,0.001773540079,17307.73262,-21.53982443,0.08375462113,-615.2614422,
5256012400,-21.0390092,0.08872572156,-590.3195392,-56.65119546,0.001470416024,17567.79017,-60.93456908,0.0008979900943,17334.36137,-18.38017969,0.1205011012,-613.5182551,
5268012200,-20.37426117,0.09578267051,-582.0012747,-58.33548274,0.001211227892,17598.96222,-61.78004144,0.000814700397,17383.12638,-17.12841077,0.1391808426,-598.3469815,
5280012000,-20.42954119,0.09517501207,-580.1188107,-60.86058058,0.000905672062,17635.29217,-62.47033918,0.0007524593468,17433.53244,-16.68476347,0.1464744333,-584.3999084,
5292011800,-20.2200206,0.0974987325,-575.5535275,-63.84872119,0.0006420427413,17665.19091,-63.23166269,0.000689313629,17487.52845,-17.51072902,0.1331875252,-571.3512567,
5304011600,-20.26060733,0.09704421102,-577.9030293,-69.9760163,0.0003171021488,17718.8116,-62.76345018,0.0007274907759,17533.42806,-19.32315641,0.1081041034,-559.1239771,
5316011400,-20.86907812,0.09047864629,-579.9463368,-77.19783165,0.0001380728908,17775.27941,-61.51302795,0.0008401340809,17585.83912,-22.7491464,0.07286897829,-556.4266568,
5328011200,-21.19880809,0.08710831147,-582.1444305,-74.99448077,0.0001779409733,17877.81002,-60.21709262,0.000975316045,17633.14834,-28.12268199,0.03925237149,-573.9310348,
5340011000,-21.25333161,0.08656322332,-582.4028356,-74.57233563,0.0001868027299,17951.05649,-58.60411703,0.001174340796,17675.01476,-24.66602759,0.0584384409,-615.750809,
5352010800,-20.9427124,0.08971485919,-589.3606817,-71.39823676,0.0002692081242,18006.25609,-56.56779613,0.001484602519,17715.20942,-20.11977253,0.09863053146,-621.1461148,
5364010600,-21.31590118,0.08594189805,-593.6543161,-68.84625444,0.0003611497163,18049.76163,-55.17208684,0.001743394446,17752.22577,-17.55868032,0.1324542762,-613.3250345,
5376010400,-20.48534836,0.0945654693,-588.9395503,-65.50951581,0.0005303031534,18087.92881,-53.20211497,0.002187228979,17790.02792,-16.89275846,0.1430085743,-600.0245849,
5388010200,-19.89866438,0.1011735016,-588.012817,-62.78840088,0.0007254040164,18125.66663,-51.56321793,0.002641429985,17828.64089,-17.23429314,0.1374945054,-583.0204028,
5400010000,-19.98716858,0.1001478364,-581.6262958,-60.20966449,0.000976150487,18160.56458,-50.12949142,0.003115483309,17868.41545,-18.11489772,0.1242381895,-571.9671297,
5412009800,-20.20993723,0.09761198361,-578.626607,-58.12116883,0.001241485234,18194.34369,-48.67065582,0.003685252157,17907.11743,-21.27754059,0.08632229346,-565.7533972,
5424009600,-21.50780181,0.0840639726,-582.3974791,-56.86227664,0.00143511323,18226.86163,-47.52403454,0.004205312488,17946.51827,-25.85391415,0.05096878634,-567.4689543,
5436009400,-22.76956897,0.07269784738,-587.8549011,-55.68545425,0.001643339474,18260.64754,-47.12457819,0.004403227155,17984.88589,-27.19421591,0.04368066129,-621.2729256,
5448009200,-22.45022671,0.07542037103,-597.729744,-54.96668477,0.001785113201,18297.06317,-47.54627464,0.004194558619,18023.56928,-22.81319465,0.07233363119,-642.412721,
5460009000,-21.51877572,0.08395783169,-605.5053995,-54.60620098,0.001860758241,18331.39505,-48.3720692,0.003814139209,18062.61222,-19.17604292,0.1099506633,-630.0044373,
5472008800,-20.81731968,0.09101940996,-603.5998909,-53.78477697,0.002045319465,18368.12248,-49.31006641,0.003423707697,18104.76202,-16.87047093,0.1433759978,-615.3941227,
5484008600,-20.25537849,0.09710264851,-594.6921322,-52.88458102,0.002268668019,18405.10339,-50.27297282,0.003064441669,18151.25156,-16.03110958,0.1579226856,-597.6259181,
5496008400,-19.42893353,0.106795591,-584.0499973,-52.32466514,0.002419729077,18441.98927,-51.24393194,0.002740333394,18197.47266,-16.70193219,0.1461851947,-579.7741034,
5508008200,-19.78680666,0.1024848494,-578.2010284,-51.59944446,0.002630436226,18480.71818,-51.64033843,0.002618080998,18243.86107,-18.80722573,0.1147198878,-560.0468992,
5520008000,-21.19561053,0.08714038487,-573.7636943,-50.57896083,0.00295836638,18516.53164,-51.75000964,0.00258523197,18287.62068,-24.005921,0.06305273797,-543.2712539,
5532007800,-22.65720805,0.07364437787,-584.6946786,-49.69299001,0.003276049833,18551.66148,-51.34734403,0.0027079011,18333.66863,-60.58545991,0.0009348178673,-559.457059,
5544007600,-24.26831195,0.06117646839,-600.5748819,-49.03411113,0.003534227026,18586.97754,-50.7836129,0.002889477752,18376.65386,-24.45942738,0.05984510466,-680.524767,
5556007400,-22.93285879,0.07134393518,-609.972325,-48.59707716,0.003716602735,18620.90965,-50.14415535,0.003110228041,18416.54768,-19.00983672,0.1120748495,-662.8175677,
5568007200,-20.96365453,0.08949881258,-608.035775,-48.4027065,0.003800709488,18655.49877,-49.45359622,0.003367597582,18456.39213,-17.56907926,0.1322957939,-637.0172319,
5580007000,-19.08239497,0.1111425231,-607.2133824,-48.28502295,0.003852555043,18689.21689,-49.55706612,0.003327719364,18495.21632,-15.46199195,0.168616629,-611.1805918,
5592006800,-18.89955257,0.1135069284,-604.9429077,-48.56254791,0.003731406851,18725.7291,-49.70039767,0.003273257083,18533.05058,-15.36695889,0.1704716072,-592.3603303,
5604006600,-20.03272873,0.09962390562,-597.2491873,-48.79607289,0.003632422485,18763.63878,-50.13186172,0.00311463324,18573.41592,-16.96900675,0.1417586806,-573.3850039,
5616006400,-20.99814678,0.08914411161,-589.7704467,-49.17525131,0.00347726216,18798.89464,-50.28169822,0.003061364832,18607.29362,-20.16612899,0.09810554408,-553.495208,
5628006200,-22.56380791,0.07444055537,-598.4418004,-48.47999441,0.003767040415,18839.85696,-50.82734972,0.002874964682,18653.89875,-29.52145029,0.03341392439,-552.9661445,
5640006000,-23.82385369,0.06438835286,-608.3834351,-48.20016499,0.003890377552,18876.0021,-51.38385653,0.002696541902,18693.96591,-29.83233048,0.03223914207,-663.9547298,
5652005800,-23.3404244,0.06807360967,-616.8471514,-48.34132455,0.003827663693,18912.65311,-51.79261323,0.002572582661,18732.19467,-21.22375428,0.0868584922,-660.7015395,
5664005600,-22.13024588,0.07825060535,-611.7929748,-48.55316358,0.003735440483,18949.50465,-52.61214662,0.002340952863,18769.50327,-17.79339683,0.1289229274,-646.1903272,
5676005400,-20.6691849,0.09258502646,-610.8998299,-49.05011927,0.003527719424,18985.31182,-53.47648207,0.002119219281,18806.81626,-16.5809736,0.148235192,-630.6822474,
5688005200,-20.10887056,0.09875440391,-609.626928,-49.54067197,0.003334006187,19023.72675,-54.9772653,0.001782940026,18841.6816,-16.57539294,0.1483304633,-610.3983661,
5700005000,-19.7244426,0.1032233311,-603.9712981,-50.06441488,0.003138912836,19061.58628,-56.09928717,0.001566879654,18872.49553,-17.81081557,0.1286646437,-592.240673,
5712004800,-20.16645603,0.09810185027,-597.8291996,-50.20308497,0.003089198047,19099.67401,-57.16791885,0.001385492112,18906.14093,-20.28235549,0.09680153082,-574.5420109,
5724004600,-20.79931217,0.09120830633,-600.9845031,-50.33769944,0.003041690547,19137.50564,-58.25844691,0.001222018144,18938.1655,-24.54597342,0.05925177011,-570.0855012,
5736004400,-21.78898762,0.08138617146,-607.1466964,-50.45819528,0.002999785737,19174.34502,-58.55337385,0.001181221403,18970.24006,-31.81982649,0.02564535264,-614.9179225,
5748004200,-22.44990875,0.07542313198,-611.3265664,-50.71263325,0.002913186827,19208.48636,-58.5000527,0.001188495016,18998.13644,-24.83566335,0.05730820852,-658.8645788,
5760004000,-21.79464507,0.08133317885,-614.0352496,-51.17720555,0.002761466141,19244.54962,-57.7601037,0.00129418039,19027.20836,-20.06943299,0.09920380968,-655.0336931,
5772003800,-21.03929735,0.08872277822,-615.1702329,-52.2053415,0.002453199825,19276.91945,-56.6152058,0.001476521278,19059.16326,-18.31663418,0.1213859135,-641.1925758,
5784003600,-20.82127697,0.09097795097,-616.1632508,-53.20576502,0.00218631004,19312.66633,-56.06994531,0.001572181692,19092.46918,-17.86229255,0.1279043669,-623.9418052,
5796003400,-20.84999057,0.09067769486,-608.9381273,-54.56136184,0.001870388864,19349.31877,-55.42776583,0.001692823615,19124.74203,-18.23894603,0.1224764807,-605.6108316,
5808003200,-21.13776062,0.08772269572,-606.2697765,-55.67858918,0.001644638835,19383.84456,-55.13111662,0.001751637237,19160.18334,-19.61035778,0.1045880608,-592.1458017,
5820003000,-21.83284912,0.08097622824,-607.0663279,-56.71515162,0.001459628783,19418.78927,-54.80060247,0.001819574646,19197.90868,-23.27297173,0.068604312,-584.9728107,
5832002800,-23.22576694,0.06897816761,-611.1761753,-57.74026628,0.001297139505,19449.84229,-54.58086174,0.001866194534,19237.24897,-29.88653628,0.03203857459,-597.3835662,
5844002600,-23.40862327,0.06754120997,-615.9953908,-59.59201204,0.00104809198,19480.80838,-54.0369283,0.001986797408,19279.43967,-27.33322187,0.0429871751,-658.3681315,
5856002400,-23.14867185,0.06959313603,-620.667541,-62.24945488,0.0007718399538,19510.21942,-53.5088792,0.002111329619,19320.6774,-22.45336687,0.07539310969,-664.322402,
5868002200,-23.69946054,0.06531711184,-628.4862738,-65.26228651,0.0005456142126,19530.55703,-53.28683622,0.002165998686,19360.9467,-19.35181311,0.1077480315,-653.0753612,
5880002000,-23.23044705,0.06894101097,-622.588286,-69.49159147,0.0003352898653,19539.62623,-53.1811531,0.002192513849,19400.73899,-17.80832951,0.1287014751,-638.9141239,
5892001800,-21.86276828,0.08069777971,-624.9367783,-76.84971224,0.0001437190665,19529.9196,-52.94425509,0.002253135164,19442.38963,-17.88773747,0.1275302251,-624.1261216,
5904001600,-22.60941201,0.07405073944,-622.6893915,-72.47871017,0.0002377193266,19471.25805,-52.9548513,0.002250388164,19485.45708,-18.9223564,0.1132093196,-605.3047728,
5916001400,-22.0602504,0.07888373768,-614.1670807,-65.26662355,0.0005453418443,19489.32086,-52.97203371,0.00224594085,19529.22753,-20.65828528,0.09270128114,-593.2687018,
5928001200,-23.61607324,0.0659471965,-610.6599215,-61.51438164,0.0008400031567,19520.3315,-52.6712232,0.002325085031,19574.42299,-24.90947464,0.05682327599,-599.2458449,
5940001000,-21.54240803,0.08372971225,-591.2795975,-56.64088831,0.001472161936,19548.00611,-51.42509706,0.002683769092,19618.19376,-28.44495654,0.03782266907,-635.8636149,
5952000800,-24.69801363,0.05822363535,-629.4604953,-53.39353695,0.002139553509,19578.00709,-50.77961067,0.002890809454,19658.94755,-24.29727697,0.06097280176,-665.477668,
5964000600,-23.10483908,0.06994522092,-634.3344912,-51.56443612,0.002641059552,19607.57771,-50.46623657,0.002997009858,19698.73848,-20.08170616,0.09906373364,-661.4352969,
5976000400,-21.5165964,0.08397889965,-637.9958071,-50.25935573,0.003069249641,19639.16586,-50.29171763,0.0030578355,19737.74583,-18.30355131,0.1215688853,-650.8735399,
5988000200,-19.98233901,0.1002035366,-634.5979737,-49.65257204,0.003291329771,19671.67468,-50.96521276,0.00282969327,19776.34275,-17.75915962,0.1294321063,-635.716645,
6000000000,-20.06335915,0.09927320486,-629.5042127,-48.72432437,0.00366255185,19706.89406,-51.54138447,0.00264807802,19817.26224,-18.72068575,0.1158685874,-619.5276946,
