Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_Unwrapped Phase,S12_Magnitude,S12_Magnitude (linear),S12_Phase,S12_Unwrapped Phase,S21_Magnitude,S21_Magnitude (linear),S21_Phase,S21_Unwrapped Phase,S22_Magnitude,S22_Magnitude (linear),S22_Phase,S22_Unwrapped Phase,
28803519,-39.26366194,0.01088471102,137.123386,-942.876614,-3.570737171,0.6629230831,2.36121992,-2517.63878,-3.558013946,0.6638948545,2.575543834,-2517.424456,-44.40300275,0.006023513144,134.2495751,-2385.750425,
29291300,-49.75902192,0.003251239062,-179.4064671,-899.4064671,-3.610442938,0.6598995818,-40.0067883,-2560.006788,-3.603175601,0.6604519396,-39.79578009,-2559.79578,-48.54057921,0.00374085642,-95.20157092,-2255.201571,
29779081,-38.81378237,0.01146333229,-154.1699118,-874.1699118,-3.646642094,0.6571551191,-82.38258156,-2602.382582,-3.638029705,0.6578070364,-82.0843856,-2602.084386,-38.68700054,0.01163188161,-136.0989423,-2296.098942,
30266862,-36.18337837,0.01551783328,174.7884215,-905.2115785,-3.672848458,0.6551753918,-124.8035412,-2644.803541,-3.661324332,0.6560452319,-124.4780077,-2644.478008,-37.65631321,0.01309737733,-176.6361161,-2336.636116,
30754643,-38.44739779,0.01195721699,142.0237156,-937.9762844,-3.695779722,0.6534479711,-167.2667475,-2687.266748,-3.687910004,0.6540402861,-166.9524586,-2686.952459,-41.79937724,0.008128887962,143.8564485,-2376.143552,
31242424,-49.99460429,0.003164242689,139.8720049,-940.1279951,-3.732638728,0.6506809074,150.2893267,-2729.710673,-3.727488715,0.6510668216,150.5839245,-2729.416076,-62.72292591,0.0007308928349,-116.7569669,-2276.756967,
31730205,-40.93380432,0.008980691626,-142.0124524,-862.0124524,-3.768134665,0.6480272472,107.9024827,-2772.097517,-3.761411478,0.6485290374,108.2235335,-2771.776467,-40.98182782,0.008931175198,-128.0047448,-2288.004745,
32217986,-36.67997232,0.01465552511,-171.4534938,-891.4534938,-3.792191202,0.6462349468,65.48122974,-2814.51877,-3.782529295,0.6469541979,65.82569029,-2814.17431,-38.5474806,0.01182023116,-167.0173696,-2327.01737,
32705767,-37.64849618,0.01310916986,157.193357,-922.806643,-3.814229066,0.644597396,23.01229299,-2856.987707,-3.805301214,0.6452602905,23.31755372,-2856.682446,-41.65956684,0.008260791445,155.0088395,-2364.99116,
33193548,-44.97484508,0.005639722642,144.6788281,-935.3211719,-3.848625243,0.6420498338,-19.40826589,-2899.408266,-3.842941897,0.6424700769,-19.16114438,-2899.161144,-63.81065934,0.0006448623672,-162.2714795,-2322.271479,
33681329,-42.17813957,0.007782032165,-146.1042138,-866.1042138,-3.886189961,0.6392790937,-61.82353168,-2941.823532,-3.880267425,0.6397151393,-61.5611871,-2941.561187,-41.051812,0.008859503829,-118.4966936,-2278.496694,
34169110,-36.83240509,0.01440057209,-167.7365833,-887.7365833,-3.911130601,0.6374461023,-104.2495761,-2984.249576,-3.903429,0.6380115634,-103.9752706,-2983.975271,-37.60263145,0.01317857423,-155.8382786,-2315.838279,
34656891,-36.94833858,0.01420963986,160.8775096,-919.1224904,-3.930730181,0.6360093364,-146.7045602,-3026.70456,-3.92388543,0.636510729,-146.4340465,-3026.434046,-39.08802754,0.01110704735,166.0797026,-2353.920297,
35144672,-43.04574006,0.007042275272,138.2999946,-941.7000054,-3.962749396,0.6336691005,170.8608507,-3069.139149,-3.955532387,0.6341958278,171.108559,-3068.891441,-48.05940359,0.003953937686,140.3780078,-2379.621992,
35632453,-44.22300974,0.006149637452,-139.9263368,-859.9263368,-3.999794073,0.6309723036,128.4623352,-3111.537665,-3.994669214,0.6313447005,128.7125283,-3111.287472,-44.48634132,0.005965995675,-124.5054549,-2284.505455,
36120234,-36.80368514,0.01444826647,-157.1470851,-877.1470851,-4.026046534,0.6290681153,86.0581654,-3153.941835,-4.019236489,0.6295615205,86.33514911,-3153.664851,-38.51388938,0.01186603243,-156.1163369,-2316.116337,
36608015,-35.69876507,0.01640823044,171.6459822,-908.3540178,-4.044925279,0.6277023233,43.62927798,-3196.370722,-4.039110051,0.6281227124,43.89729017,-3196.10271,-38.63105561,0.01170704316,164.7677775,-2355.232222,
37095796,-39.3042385,0.01083398113,145.2131736,-934.7868264,-4.07367431,0.6256281544,1.212928617,-3238.787071,-4.0682218,0.6260210116,1.453985379,-3238.546015,-45.03982119,0.005597691251,123.9553536,-2396.044646,
37583577,-45.83122311,0.005110211144,-171.0197399,-891.0197399,-4.108509698,0.6231240522,-41.18332313,-3281.183323,-4.104766636,0.6233926367,-40.94384917,-3280.943849,-48.4813152,0.003766467636,-106.9479421,-2266.947942,
38071358,-37.79871848,0.01288439635,-158.3468364,-878.3468364,-4.138654923,0.620965188,-83.58493561,-3323.584936,-4.132805691,0.6213834978,-83.31189345,-3323.311893,-38.90551928,0.01134289824,-143.6764533,-2303.676453,
38559139,-35.54971736,0.01669222123,173.6451129,-906.3548871,-4.156342914,0.6197019379,-126.0078605,-3366.007861,-4.151680001,0.6200347066,-125.7157855,-3365.715786,-37.56034662,0.01324288688,175.5058358,-2344.494164,
39046920,-37.90987246,0.01272056429,143.4439775,-936.5560225,-4.182686924,0.6178252503,-168.4130475,-3408.413047,-4.177699891,0.6181800787,-168.1670019,-3408.167002,-41.1592178,0.008750625744,134.4706418,-2385.529358,
39534701,-47.45485155,0.004238941495,155.1180321,-924.8819679,-4.217247369,0.6153718583,149.1799406,-3450.820059,-4.213647977,0.6156269183,149.4300466,-3450.569953,-63.99160598,0.0006315673948,176.7282995,-2343.271701,
40022482,-39.70367771,0.01034703968,-151.3900092,-871.3900092,-4.246997904,0.6132677187,106.7775481,-3493.222452,-4.243335984,0.6135263233,107.0745628,-3492.925437,-41.17661279,0.008733118648,-137.6198843,-2297.619884,
40510263,-35.87691541,0.01607512021,-176.6599979,-896.6599979,-4.266326796,0.6119045185,64.38718779,-3535.612812,-4.261670011,0.6122326682,64.71632352,-3535.283676,-38.08044237,0.01247319988,-177.1019294,-2337.101929,
40998044,-36.94276462,0.01421876148,153.1153139,-926.8846861,-4.291146372,0.610158522,21.98049877,-3578.019501,-4.285393369,0.6105627876,22.27926488,-3577.720735,-40.22175861,0.009747922541,141.5550832,-2378.444917,
41485826,-44.18273459,0.006178218596,145.1055359,-934.8944641,-4.325039044,0.6077822993,-20.42925462,-3620.429255,-4.318010693,0.6082742968,-20.12701093,-3620.127011,-53.9212765,0.00201342833,107.5153112,-2412.484689,
41973607,-41.10220058,0.008808256866,-150.3890065,-870.3890065,-4.354583824,0.605718459,-62.7993095,-3662.79931,-4.350324992,0.6060155254,-62.50771597,-3662.507716,-43.32323981,0.006820842315,-128.828482,-2288.828482,
42461388,-35.7741371,0.01626646357,-168.0097804,-888.0097804,-4.374562509,0.6043268282,-105.2063301,-3705.20633,-4.373224271,0.6044199442,-104.8661234,-3704.866123,-38.88341859,0.01137179627,-169.570929,-2329.570929,
42949169,-35.35766862,0.0170654038,163.5710449,-916.4289551,-4.395465623,0.602874228,-147.6003694,-3747.600369,-4.393572597,0.6030056344,-147.2796625,-3747.279663,-40.40307659,0.009546543826,145.640436,-2374.359564,
43436950,-39.15340164,0.01102376427,146.7248511,-933.2751489,-4.427584224,0.6006490421,170.0077612,-3789.992239,-4.422835449,0.6009775205,170.3074192,-3789.692581,-52.20859384,0.002452281421,75.2698995,-2444.7301,
43924731,-41.204235,0.008705390358,-179.7563163,-899.7563163,-4.459590467,0.5984398103,127.6275878,-3832.372412,-4.454432721,0.5987952739,127.9482017,-3832.051798,-42.35236698,0.007627490074,-103.4214665,-2263.421466,
44412512,-36.5269061,0.01491607969,-179.6222056,-899.6222056,-4.482818656,0.5968415742,85.24711261,-3874.752887,-4.47619551,0.5972968502,85.61145158,-3874.388548,-37.12476517,0.01392392712,-150.0541502,-2310.05415,
44900293,-35.40263145,0.01697729235,153.6241959,-926.3758041,-4.500998781,0.5955936529,42.8678481,-3917.132152,-4.495218123,0.5959901661,43.21918651,-3916.780813,-37.06042898,0.01402744423,166.1628481,-2353.837152,
45388074,-38.59480194,0.01175600881,124.9386386,-955.0613614,-4.52918732,0.5936638907,0.4913801734,-3959.50862,-4.522667367,0.5941096843,0.8312972629,-3959.168703,-42.06473222,0.007884304507,123.2851151,-2396.714885,
45875855,-48.70694175,0.003669888865,152.4913736,-927.5086264,-4.560155026,0.5915510761,-41.8781001,-4001.8781,-4.55400769,0.5919698875,-41.54468939,-4001.544689,-55.52750139,0.00167349697,-107.3397852,-2267.339785,
46363636,-40.21342578,0.009757278717,-164.0154993,-884.0154993,-4.580429148,0.5901719206,-84.23260616,-4044.232606,-4.577305028,0.5903842303,-83.85704058,-4043.857041,-40.56345504,0.009371891415,-141.6779279,-2301.677928,
46851417,-37.19711792,0.01380842368,169.4393628,-910.5606372,-4.598253173,0.5889620901,-126.6097019,-4086.609702,-4.596288924,0.5890952946,-126.2334085,-4086.233408,-38.73181985,0.01157201552,178.5876146,-2341.412385,
47339198,-39.6809441,0.01037415649,141.5462795,-938.4537205,-4.626649922,0.5870397425,-168.998883,-4128.998883,-4.620433588,0.5874600266,-168.6389805,-4128.63898,-42.49359237,0.007504476146,143.2818252,-2376.718175,
47826979,-47.65200403,0.00414380966,175.3535257,-904.6464743,-4.659100989,0.5848506145,148.6292755,-4171.370724,-4.651645287,0.5853528479,148.9814036,-4171.018596,-51.62668627,0.002622199236,-154.9488256,-2314.948826,
48314760,-38.96427921,0.01126642265,-153.7570126,-873.7570126,-4.68161181,0.5833368465,106.2521506,-4213.747849,-4.679251234,0.5834954023,106.6480924,-4213.351908,-40.52558322,0.009412843525,-148.6643045,-2308.664305,
48802541,-35.40948422,0.01696390334,179.3136505,-900.6863495,-4.700082925,0.5820976604,63.90087892,-4256.099121,-4.695663837,0.5823938874,64.30545433,-4255.694546,-38.03163961,0.01254347936,173.6834093,-2346.316591,
49290322,-36.12772827,0.0156175745,148.5547548,-931.4452452,-4.724879953,0.580438221,21.51909699,-4298.480903,-4.718484419,0.5808657626,21.903913,-4298.096087,-40.30810357,0.00965150014,128.5857743,-2391.414226,
49778103,-41.68476346,0.008236862703,132.948504,-947.051496,-4.755705173,0.5783819636,-20.85283281,-4340.852833,-4.748052719,0.578891755,-20.47282668,-4340.472827,-51.70357437,0.002599089781,55.46116693,-2464.538833,
50265884,-43.98240246,0.006322369544,-174.3545528,-894.3545528,-4.77991864,0.5767718659,-63.21882713,-4383.218827,-4.776619805,0.5769909611,-62.81153033,-4382.81153,-44.0232537,0.006292704163,-106.1253408,-2626.125341,
50753665,-38.49470056,0.01189227578,-178.696264,-898.696264,-4.795372512,0.57574659,-105.5561267,-4425.556127,-4.794394859,0.5758113976,-105.1382117,-4425.138212,-39.96962471,0.01003503207,-154.8405523,-2674.840552,
51241446,-38.21692824,0.01227873391,155.9991454,-924.0008546,-4.817819261,0.5742606219,-147.927854,-4467.927854,-4.815375252,0.5744222284,-147.5198611,-4467.519861,-41.77266133,0.008153929146,164.6479383,-2715.352062,
51729227,-43.42110309,0.006744423695,146.5462192,-933.4537808,-4.850759418,0.5720869342,169.7002095,-4510.299791,-4.844009133,0.5725317074,170.0859308,-4509.914069,-53.83326331,0.002033933898,169.0269885,-2710.973012,
52217008,-42.95775758,0.007113971499,-160.6529557,-880.6529557,-4.875864052,0.5704358313,127.311824,-4552.688176,-4.873338683,0.5706017061,127.7417954,-4552.258205,-43.19866939,0.00691936962,-121.0340962,-2641.034096,
52704789,-37.48492921,0.01335837219,-169.6995547,-889.6995547,-4.892118919,0.5693693098,84.98604843,-4595.013952,-4.892533416,0.5693421397,85.41326955,-4594.58673,-38.93519094,0.01130421615,-155.1302809,-2675.130281,
53192570,-36.61999946,0.01475706624,163.9204492,-916.0795508,-4.913674634,0.5679580616,42.62306876,-4637.376931,-4.910248638,0.5681821268,43.03413608,-4636.965864,-40.05177423,0.009940570013,167.4576249,-2712.542375,
53680351,-40.01905831,0.00997808236,145.8104845,-934.1895155,-4.942675526,0.5660648965,0.2432826894,-4679.756717,-4.937136987,0.5664259617,0.6450156807,-4679.354984,-49.70762589,0.003270534278,146.2960147,-2733.703985,
54168132,-42.96776453,0.007105780267,177.7916453,-902.2083547,-4.970542476,0.5642517,-42.11481239,-4722.114812,-4.966948042,0.5644852495,-41.70396791,-4721.703968,-43.91203899,0.006373794399,-111.3432161,-2631.343216,
54655913,-38.21309068,0.01228416005,-175.9181668,-895.9181668,-4.987638567,0.5631421981,-84.46819622,-4764.468196,-4.987258417,0.5631668453,-84.00350106,-4764.003501,-37.93018163,0.01269085607,-143.4709558,-2663.470956,
55143695,-36.75718774,0.01452581849,159.8139121,-920.1860879,-5.007861074,0.5618326143,-126.8164104,-4806.81641,-5.002908979,0.5621530238,-126.3756689,-4806.375669,-37.44921936,0.01341340482,-178.9501141,-2698.950114,
55631476,-39.81158205,0.01021929409,134.1078151,-945.8921849,-5.034890996,0.5600869454,-169.1925925,-4849.192593,-5.02812594,0.5605233423,-168.782522,-4848.782522,-41.54138888,0.00837395371,154.5183794,-2725.481621,
56119257,-47.94796703,0.004004991961,168.1635611,-911.8364389,-5.060258359,0.5584535835,148.4335025,-4891.566497,-5.056540271,0.5586926867,148.8626241,-4891.137376,-47.33594632,0.004297369371,-159.0085655,-2679.008565,
56607038,-39.81219807,0.01021856935,-159.2211329,-879.2211329,-5.080740171,0.5571382702,106.1034753,-4933.896525,-5.079309341,0.5572300554,106.566294,-4933.433706,-39.94905918,0.0100588201,-152.382095,-2672.382095,
57094819,-36.7360743,0.01456117043,174.9722178,-905.0277822,-5.099218454,0.5559542791,63.75921299,-4976.240787,-5.09501459,0.5562234193,64.22453774,-4975.775462,-38.10313498,0.01244065513,177.2359301,-2702.76407,
57582600,-38.28504116,0.01218282321,147.1155712,-932.8844288,-5.124869496,0.554314865,21.38151111,-5018.618489,-5.117511454,0.5547846384,21.85385595,-5018.146144,-40.98724335,0.00892560848,146.8364643,-2733.163536,
