Frequency,S11_Magnitude,S11_Magnitude (linear),S11_Phase,S11_Unwrapped Phase,S12_Magnitude,S12_Magnitude (linear),S12_Phase,S12_Unwrapped Phase,S21_Magnitude,S21_Magnitude (linear),S21_Phase,S21_Unwrapped Phase,S22_Magnitude,S22_Magnitude (linear),S22_Phase,S22_Unwrapped Phase,
444392961,-31.98684469,0.0251569372,81.00133728,-638.9986627,-55.84581798,0.00161327759,-129.9167078,-75369.91671,-55.96363494,0.001591542547,-128.3288182,-75368.32882,-32.92376943,0.02258455451,105.7653782,-254.2346218,
444880742,-32.09307695,0.02485113066,80.21663192,-639.7833681,-56.63792765,0.001472663821,141.0021805,-75458.99782,-56.72115623,0.001458620082,142.2235829,-75457.77642,-32.79182969,0.02293023551,104.7772626,-255.2227374,
445368523,-32.20274419,0.02453933506,79.54420428,-640.4557957,-56.01610808,0.001581956714,49.62104462,-75550.37896,-56.02626166,0.001580108528,51.48300181,-75548.517,-32.74207119,0.023061972,103.9767103,-256.0232897,
445856304,-32.31567904,0.02422233734,78.90117654,-641.0988235,-54.68957492,0.001842982682,-32.29196476,-75632.29196,-54.78864281,0.001822081756,-30.04767911,-75630.04768,-32.71772027,0.02312671703,103.4093251,-256.5906749,
446344086,-32.44979683,0.02385119585,78.41508812,-641.5849119,-54.07506464,0.001978093282,-107.1099926,-75707.10999,-54.21772931,0.001945868709,-105.6762153,-75705.67622,-32.68904213,0.02320320054,103.2233208,-256.7766792,
446831867,-32.57204816,0.02351784871,78.054944,-641.945056,-54.63335953,0.001854949214,178.4766813,-75781.52332,-54.71004408,0.001838644622,179.8108509,-75780.18915,-32.61998695,0.02338840752,103.1178554,-256.8821446,
447319648,-32.69413824,0.02318959094,77.8350707,-642.1649293,-56.06414181,0.0015732325,97.30538386,-75862.69462,-56.06815524,0.001572505736,98.76273294,-75861.23727,-32.50936495,0.02368818317,102.9890231,-257.0109769,
447807429,-32.80868718,0.02288577591,77.62078697,-642.379213,-56.99454155,0.001413425501,5.219932959,-75954.78007,-57.08003513,0.001399581662,7.195167589,-75952.80483,-32.3837024,0.02403338148,102.5325042,-257.4674958,
448295210,-32.93600413,0.02255276495,77.46778364,-642.5322164,-56.22270196,0.001544773826,-86.78985563,-76046.78986,-56.34584565,0.001523027404,-85.24053825,-76045.24054,-32.27110453,0.02434696175,101.7266507,-258.2733493,
448782991,-33.07610822,0.02219190523,77.3484442,-642.6515558,-55.0742461,0.001763143641,-168.5155499,-76128.51555,-55.18065981,0.001741674565,-167.2428725,-76127.24287,-32.18241727,0.02459682984,100.7111328,-259.2888672,
449270772,-33.22291294,0.02181998025,77.43520094,-642.5647991,-54.68257257,0.001844469046,114.9078471,-76205.09215,-54.71847157,0.001836861543,116.2805375,-76203.71946,-32.13932231,0.02471917002,99.58173072,-260.4182693,
449758553,-33.36339163,0.02146991962,77.68521184,-642.3147882,-55.06090606,0.001765853608,36.94108591,-76283.05891,-55.10848266,0.001756207659,39.180481,-76280.81952,-32.14370836,0.0247066909,98.26932564,-261.7306744,
450246334,-33.5004557,0.02113378159,77.86536299,-642.134637,-55.78587232,0.001624450132,-45.11258005,-76365.11258,-55.91155877,0.001601113286,-42.94027351,-76362.94027,-32.20757876,0.02452568026,97.05907852,-262.9409215,
450734115,-33.63725662,0.02080353649,78.22789206,-641.7721079,-56.23752898,0.001542139109,-131.4546424,-76451.45464,-56.3397187,0.001524102112,-130.0507898,-76450.05079,-32.34978539,0.02412741145,96.1387765,-263.8612235,
